Time,buy_orders,sell_orders
2024-10-31 06:24:01,0,110
2024-10-31 06:24:02,6,0
2024-10-31 06:24:04,6,0
2024-10-31 06:24:08,0,6
2024-10-31 06:24:10,6,6
2024-10-31 06:24:12,6,0
2024-10-31 06:24:14,12,0
2024-10-31 06:24:15,30,1476
2024-10-31 06:24:16,40,32
2024-10-31 06:24:17,8,0
2024-10-31 06:24:19,8,0
2024-10-31 06:24:20,8,0
2024-10-31 06:24:22,0,8
2024-10-31 06:24:25,1687,0
2024-10-31 06:24:26,0,735
2024-10-31 06:24:27,0,2254
2024-10-31 06:24:28,0,1120
2024-10-31 06:24:29,16,0
2024-10-31 06:24:31,32,16
2024-10-31 06:24:33,16,0
2024-10-31 06:24:34,16,16
2024-10-31 06:24:35,16,0
2024-10-31 06:24:36,48,0
2024-10-31 06:24:37,16,0
2024-10-31 06:24:38,32,48
2024-10-31 06:24:39,16,0
2024-10-31 06:24:40,16,0
2024-10-31 06:24:41,0,33
2024-10-31 06:24:43,19,0
2024-10-31 06:24:45,19,19
2024-10-31 06:24:46,21,0
2024-10-31 06:24:47,3658,23
2024-10-31 06:24:48,8024,0
2024-10-31 06:24:50,67,0
2024-10-31 06:24:53,271,0
2024-10-31 06:24:54,0,69
2024-10-31 06:24:57,0,67
2024-10-31 06:24:58,0,12345
2024-10-31 06:24:59,68,136
2024-10-31 06:25:00,67,16616
2024-10-31 06:25:01,67,0
2024-10-31 06:25:02,1885,0
2024-10-31 06:25:03,194,0
2024-10-31 06:25:04,256,64
2024-10-31 06:25:05,0,11842
2024-10-31 06:25:06,124,0
2024-10-31 06:25:08,60,0
2024-10-31 06:25:09,0,2242
2024-10-31 06:25:10,58,4661
2024-10-31 06:25:12,56,0
2024-10-31 06:25:13,0,112
2024-10-31 06:25:15,54,0
2024-10-31 06:25:17,0,52
2024-10-31 06:25:18,51,0
2024-10-31 06:25:20,98,49
2024-10-31 06:25:22,48,0
2024-10-31 06:25:23,47,0
2024-10-31 06:25:24,92,0
2024-10-31 06:25:25,45,0
2024-10-31 06:25:27,0,43
2024-10-31 06:25:31,118,0
2024-10-31 06:25:32,39,0
2024-10-31 06:25:37,35,0
2024-10-31 06:25:43,29,29
2024-10-31 06:25:44,1148,57
2024-10-31 06:25:45,0,112
2024-10-31 06:25:47,26,0
2024-10-31 06:25:48,50,0
2024-10-31 06:25:50,138,23
2024-10-31 06:25:51,66,22
2024-10-31 06:25:55,19,0
2024-10-31 06:25:57,17,0
2024-10-31 06:25:58,32,0
2024-10-31 06:25:59,105,0
2024-10-31 06:26:00,448,0
2024-10-31 06:26:02,13,0
2024-10-31 06:26:03,0,12
2024-10-31 06:26:04,780,0
2024-10-31 06:26:05,0,19
2024-10-31 06:26:06,9,0
2024-10-31 06:26:07,24,16
2024-10-31 06:26:09,7,0
2024-10-31 06:26:10,5,0
2024-10-31 06:26:13,11,0
2024-10-31 06:26:15,0,1
