Time,buy_orders,sell_orders
2024-10-22 13:25:48,188,0
2024-10-22 13:25:49,0,6
2024-10-22 13:25:50,6,0
2024-10-22 13:25:51,6,6
2024-10-22 13:25:52,0,3
2024-10-22 13:25:54,0,3
2024-10-22 13:25:55,3,0
2024-10-22 13:25:56,9,3
2024-10-22 13:25:57,3,6
2024-10-22 13:25:58,3,6
2024-10-22 13:25:59,3,6
2024-10-22 13:26:00,15,3
2024-10-22 13:26:01,6,0
2024-10-22 13:26:02,9,6
2024-10-22 13:26:03,3,3
2024-10-22 13:26:04,12,0
2024-10-22 13:26:05,3,3
2024-10-22 13:26:06,3,3
2024-10-22 13:26:07,9,0
2024-10-22 13:26:08,3,671
2024-10-22 13:26:09,0,6106
2024-10-22 13:26:10,68,68
2024-10-22 13:26:11,0,136
2024-10-22 13:26:12,34,34
2024-10-22 13:26:13,34,0
2024-10-22 13:26:14,0,34
2024-10-22 13:26:15,0,34
2024-10-22 13:26:16,34,7004
2024-10-22 13:26:17,68,612
2024-10-22 13:26:18,34,136
2024-10-22 13:26:19,170,0
2024-10-22 13:26:20,34,102
2024-10-22 13:26:21,0,34
2024-10-22 13:26:22,34,9248
2024-10-22 13:26:23,68,408
2024-10-22 13:26:24,204,34
2024-10-22 13:26:25,34,34
2024-10-22 13:26:26,68,34
2024-10-22 13:26:27,34,204
2024-10-22 13:26:28,0,34
2024-10-22 13:26:31,102,0
2024-10-22 13:26:32,34,68
2024-10-22 13:26:33,68,0
2024-10-22 13:26:34,34,0
2024-10-22 13:26:35,170,34
2024-10-22 13:26:36,68,340
2024-10-22 13:26:37,68,34
2024-10-22 13:26:38,0,132
2024-10-22 13:26:39,32,130
2024-10-22 13:26:40,32,223
2024-10-22 13:26:41,31,3193
2024-10-22 13:26:42,60,59
2024-10-22 13:26:43,28,58
2024-10-22 13:26:44,0,56
2024-10-22 13:26:45,324,108
2024-10-22 13:26:46,0,26
2024-10-22 13:26:48,24,48
2024-10-22 13:26:49,0,71
2024-10-22 13:26:50,23,0
2024-10-22 13:26:51,88,43
2024-10-22 13:26:53,0,20
2024-10-22 13:26:54,0,20
2024-10-22 13:26:56,18,18
2024-10-22 13:26:57,16,0
2024-10-22 13:26:58,0,32
2024-10-22 13:26:59,30,1440
2024-10-22 13:27:00,0,70
2024-10-22 13:27:01,91,0
2024-10-22 13:27:02,12,12
2024-10-22 13:27:03,11,22
2024-10-22 13:27:04,11,0
2024-10-22 13:27:05,10,61
2024-10-22 13:27:06,9,9
2024-10-22 13:27:07,9,8
2024-10-22 13:27:09,7,7
2024-10-22 13:27:10,6,6
2024-10-22 13:27:11,0,10
2024-10-22 13:27:12,4,4
2024-10-22 13:27:13,4,3
2024-10-22 13:27:14,0,11
2024-10-22 13:27:15,10660,0
2024-10-22 13:27:16,31362,0
2024-10-22 13:27:17,108,0
2024-10-22 13:27:18,265,0
2024-10-22 13:27:19,52,52
2024-10-22 13:27:20,51,0
2024-10-22 13:27:21,50,152
2024-10-22 13:27:22,343,49
2024-10-22 13:27:25,0,93
2024-10-22 13:27:26,0,92
2024-10-22 13:27:27,45,405
2024-10-22 13:27:28,44,132
2024-10-22 13:27:29,43,43
2024-10-22 13:27:32,81,41
2024-10-22 13:27:33,122,0
2024-10-22 13:27:34,0,80
2024-10-22 13:27:35,81,0
2024-10-22 13:27:37,0,39
2024-10-22 13:27:38,38,39
2024-10-22 13:27:39,39,77
2024-10-22 13:27:40,0,38
2024-10-22 13:27:42,73,74
2024-10-22 13:27:43,72,72
2024-10-22 13:27:44,0,35
2024-10-22 13:27:45,68,0
2024-10-22 13:27:46,67,67
2024-10-22 13:27:47,244,104
2024-10-22 13:27:48,148,0
2024-10-22 13:27:49,37,37
2024-10-22 13:27:50,37,74
2024-10-22 13:27:51,0,36
2024-10-22 13:27:52,73,185
2024-10-22 13:27:53,77,38
2024-10-22 13:27:54,37,0
2024-10-22 13:27:55,37,74
2024-10-22 13:27:57,301,75
2024-10-22 13:27:58,78,39
2024-10-22 13:27:59,81,39
2024-10-22 13:28:00,13860,0
2024-10-22 13:28:01,276,69
2024-10-22 13:28:02,204,68
2024-10-22 13:28:03,24537,0
2024-10-22 13:28:04,8549,308
2024-10-22 13:28:05,204,0
2024-10-22 13:28:06,0,101
2024-10-22 13:28:08,99,0
2024-10-22 13:28:10,194,98
2024-10-22 13:28:11,192,288
2024-10-22 13:28:12,96,191
2024-10-22 13:28:13,0,94
2024-10-22 13:28:15,186,185
2024-10-22 13:28:16,276,92
2024-10-22 13:28:17,182,0
2024-10-22 13:28:18,180,26082
2024-10-22 13:28:19,0,360
2024-10-22 13:28:21,89,88
2024-10-22 13:28:22,0,351
2024-10-22 13:28:23,172,692
2024-10-22 13:28:24,86,516
2024-10-22 13:28:25,85,84
2024-10-22 13:28:26,84,336
2024-10-22 13:28:27,166,166
2024-10-22 13:28:29,243,81
2024-10-22 13:28:30,160,0
2024-10-22 13:28:31,158,0
2024-10-22 13:28:32,157,79
2024-10-22 13:28:33,0,155
2024-10-22 13:28:34,154,77
2024-10-22 13:28:35,76,76
2024-10-22 13:28:36,0,225
2024-10-22 13:28:37,75,148
2024-10-22 13:28:38,74,74
2024-10-22 13:28:39,216,0
2024-10-22 13:28:40,143,0
2024-10-22 13:28:41,70,142
2024-10-22 13:28:42,70,138
2024-10-22 13:28:43,0,69
2024-10-22 13:28:44,0,68
2024-10-22 13:28:45,0,134
2024-10-22 13:28:46,0,67
2024-10-22 13:28:47,65,261
2024-10-22 13:28:49,192,127
2024-10-22 13:28:50,63,252
2024-10-22 13:28:51,124,123
2024-10-22 13:28:52,183,427
2024-10-22 13:28:53,60,0
2024-10-22 13:28:54,59,118
2024-10-22 13:28:55,0,116
2024-10-22 13:28:56,172,0
2024-10-22 13:28:57,225,0
2024-10-22 13:28:58,168,0
2024-10-22 13:28:59,55,55
2024-10-22 13:29:00,0,108
2024-10-22 13:29:02,0,52
2024-10-22 13:29:03,51,51
2024-10-22 13:29:04,0,50
2024-10-22 13:29:05,98,99
2024-10-22 13:29:06,146,48
2024-10-22 13:29:07,47,0
2024-10-22 13:29:08,187,47
2024-10-22 13:29:09,46,367
2024-10-22 13:29:10,0,45
2024-10-22 13:29:11,0,44
2024-10-22 13:29:12,130,430
2024-10-22 13:29:13,43,0
2024-10-22 13:29:15,41,82
2024-10-22 13:29:16,0,79
2024-10-22 13:29:17,38,0
2024-10-22 13:29:18,76,0
2024-10-22 13:29:19,7622,0
2024-10-22 13:29:20,144,108
2024-10-22 13:29:21,71,36
2024-10-22 13:29:22,0,34
2024-10-22 13:29:23,101,0
2024-10-22 13:29:24,0,33
2024-10-22 13:29:25,64,0
2024-10-22 13:29:26,279,155
2024-10-22 13:29:27,60,30
2024-10-22 13:29:28,29,59
2024-10-22 13:29:29,28,0
2024-10-22 13:29:31,26,52
2024-10-22 13:29:32,51,0
2024-10-22 13:29:33,25,25
2024-10-22 13:29:34,24,23
2024-10-22 13:29:35,138,69
2024-10-22 13:29:36,154,22
2024-10-22 13:29:37,21,0
2024-10-22 13:29:38,243,0
2024-10-22 13:29:39,38,0
2024-10-22 13:29:40,0,55
2024-10-22 13:29:41,35,72
2024-10-22 13:29:42,84,33
2024-10-22 13:29:43,16,0
2024-10-22 13:29:44,15,0
2024-10-22 13:29:45,28,14
2024-10-22 13:29:46,0,40
2024-10-22 13:29:47,12,12
2024-10-22 13:29:48,0,23
2024-10-22 13:29:49,21,0
2024-10-22 13:29:50,0,20
2024-10-22 13:29:51,0,18
2024-10-22 13:29:52,16,0
2024-10-22 13:29:53,7,14
2024-10-22 13:29:54,0,6
2024-10-22 13:29:55,5,40
2024-10-22 13:29:56,0,29
2024-10-22 13:29:57,3,0
2024-10-22 13:29:58,0,5
2024-10-22 13:29:59,4,0
2024-10-22 13:30:00,0,1132
2024-10-22 13:30:01,9514,633
2024-10-22 13:30:02,182,14
2024-10-22 13:30:03,27,26
2024-10-22 13:30:04,49,50
2024-10-22 13:30:05,0,12
2024-10-22 13:30:06,0,31
2024-10-22 13:30:07,0,2109
2024-10-22 13:30:08,16,1904
2024-10-22 13:30:09,105,45
2024-10-22 13:30:10,42,28
2024-10-22 13:30:11,13,27
2024-10-22 13:30:12,0,24
2024-10-22 13:30:13,35,12
2024-10-22 13:30:14,0,32
2024-10-22 13:30:15,10,1340
2024-10-22 13:30:16,2817,54
2024-10-22 13:30:17,40,0
2024-10-22 13:30:18,1849,15
2024-10-22 13:30:19,30,24
2024-10-22 13:30:20,6,19
2024-10-22 13:30:21,5,6
2024-10-22 13:30:22,12,10
2024-10-22 13:30:23,11,0
2024-10-22 13:30:24,2,6
2024-10-22 13:30:25,0,2
2024-10-22 13:30:26,1073,10
2024-10-22 13:30:27,2108,48
2024-10-22 13:30:28,6,20
2024-10-22 13:30:29,5416,2
2024-10-22 13:30:30,30,21
2024-10-22 13:30:31,1987,142
2024-10-22 13:30:32,2114,40
2024-10-22 13:30:33,25,18
2024-10-22 13:30:34,7,0
2024-10-22 13:30:35,39,843
2024-10-22 13:30:36,28,0
2024-10-22 13:30:37,12,26
2024-10-22 13:30:38,0,383
2024-10-22 13:30:39,5,0
2024-10-22 13:30:40,770,11
2024-10-22 13:30:41,284,14
2024-10-22 13:30:42,3,380
2024-10-22 13:30:43,10,1758
2024-10-22 13:30:44,20,1001
2024-10-22 13:30:45,91,3081
2024-10-22 13:30:46,89,2460
2024-10-22 13:30:47,80,1146
2024-10-22 13:30:48,101,604
2024-10-22 13:30:49,87,32
2024-10-22 13:30:50,39,1068
2024-10-22 13:30:51,35,322
2024-10-22 13:30:52,8,832
2024-10-22 13:30:53,63,819
2024-10-22 13:30:54,18,830
2024-10-22 13:30:55,21,5
2024-10-22 13:30:56,0,4
2024-10-22 13:30:57,7,12
2024-10-22 13:30:58,0,15
2024-10-22 13:30:59,2,8
2024-10-22 13:31:00,1284,15
2024-10-22 13:31:01,5115,34
2024-10-22 13:31:02,98,609
2024-10-22 13:31:03,95,16
2024-10-22 13:31:04,598,13
2024-10-22 13:31:05,56,6
2024-10-22 13:31:06,792,14
2024-10-22 13:31:07,4,16
2024-10-22 13:31:09,4,278
2024-10-22 13:31:10,5,285
2024-10-22 13:31:11,446,2447
2024-10-22 13:31:12,90,172
2024-10-22 13:31:13,79,1048
2024-10-22 13:31:14,70,1302
2024-10-22 13:31:15,72,914
2024-10-22 13:31:16,2006,623
2024-10-22 13:31:17,40,50
2024-10-22 13:31:18,1908,54
2024-10-22 13:31:19,0,8
2024-10-22 13:31:20,1454,15
2024-10-22 13:31:21,23,22
2024-10-22 13:31:22,2059,27
2024-10-22 13:31:23,7,19
2024-10-22 13:31:24,6,0
2024-10-22 13:31:25,20,755
2024-10-22 13:31:26,4,346
2024-10-22 13:31:27,18,27
2024-10-22 13:31:28,5,30
2024-10-22 13:31:29,2033,6
2024-10-22 13:31:30,11466,79
2024-10-22 13:31:31,66,21
2024-10-22 13:31:32,41,20
2024-10-22 13:31:33,79,235
2024-10-22 13:31:34,42,2193
2024-10-22 13:31:35,20,3300
2024-10-22 13:31:36,19,2110
2024-10-22 13:31:37,90,166
2024-10-22 13:31:38,0,17
2024-10-22 13:31:39,81,16
2024-10-22 13:31:40,31,15
2024-10-22 13:31:41,45,0
2024-10-22 13:31:42,112,27
2024-10-22 13:31:43,0,13
2024-10-22 13:31:44,12,12
2024-10-22 13:31:45,101,132
2024-10-22 13:31:46,50,11
2024-10-22 13:31:47,95,10
2024-10-22 13:31:48,9,0
2024-10-22 13:31:49,24,35
2024-10-22 13:31:50,0,14
2024-10-22 13:31:51,12,66
2024-10-22 13:31:52,10,5
2024-10-22 13:31:53,1584,0
2024-10-22 13:31:54,476,5
2024-10-22 13:31:55,258,16
2024-10-22 13:31:56,415,0
2024-10-22 13:31:57,14,14
2024-10-22 13:31:58,6082,15
2024-10-22 13:31:59,675,15
2024-10-22 13:32:00,28,2900
2024-10-22 13:32:01,0,1309
2024-10-22 13:32:02,48,3650
2024-10-22 13:32:03,21,140
2024-10-22 13:32:04,22,1908
2024-10-22 13:32:05,63,126
2024-10-22 13:32:06,62,62
2024-10-22 13:32:07,40,0
2024-10-22 13:32:08,0,75
2024-10-22 13:32:09,21,2955
2024-10-22 13:32:10,40,20
