Time,buy_orders,sell_orders
2024-10-14 07:53:48,38,21
2024-10-14 07:53:49,51,22
2024-10-14 07:53:50,28,11
2024-10-14 07:53:51,14,9
2024-10-14 07:53:52,42,33
2024-10-14 07:53:53,7,42
2024-10-14 07:53:54,60,9
2024-10-14 07:53:55,20,29
2024-10-14 07:53:56,38,21
2024-10-14 07:53:57,57,5
2024-10-14 07:53:58,18,49
2024-10-14 07:53:59,22,1
2024-10-14 07:54:00,10,29
2024-10-14 07:54:01,10,1
2024-10-14 07:54:02,23,31
2024-10-14 07:54:03,52,41
2024-10-14 07:54:04,35,15
2024-10-14 07:54:05,39,11
2024-10-14 07:54:06,23,0
2024-10-14 07:54:07,2,52
2024-10-14 07:54:08,21,7
2024-10-14 07:54:09,52,47
2024-10-14 07:54:10,1,49
2024-10-14 07:54:11,23,12
2024-10-14 07:54:12,43,14
2024-10-14 07:54:13,29,52
2024-10-14 07:54:14,37,43
2024-10-14 07:54:15,1,7
2024-10-14 07:54:16,59,9
2024-10-14 07:54:17,20,45
2024-10-14 07:54:18,32,4
2024-10-14 07:54:19,11,49
2024-10-14 07:54:20,57,18
2024-10-14 07:54:21,21,46
2024-10-14 07:54:22,60,37
2024-10-14 07:54:23,43,58
2024-10-14 07:54:24,24,10
2024-10-14 07:54:25,48,52
2024-10-14 07:54:26,26,42
2024-10-14 07:54:27,58,19
2024-10-14 07:54:28,41,19
2024-10-14 07:54:29,27,20
2024-10-14 07:54:30,59,17
2024-10-14 07:54:31,15,56
2024-10-14 07:54:32,14,49
2024-10-14 07:54:33,46,9
2024-10-14 07:54:34,50,33
2024-10-14 07:54:35,43,25
2024-10-14 07:54:36,54,29
2024-10-14 07:54:37,51,8
2024-10-14 07:54:38,56,45
2024-10-14 07:54:39,2,50
2024-10-14 07:54:40,36,30
2024-10-14 07:54:41,50,41
2024-10-14 07:54:42,6,54
2024-10-14 07:54:43,20,3
2024-10-14 07:54:44,8,60
2024-10-14 07:54:45,38,60
2024-10-14 07:54:46,17,5
2024-10-14 07:54:47,3,13
2024-10-14 07:54:48,24,3
2024-10-14 07:54:49,59,25
2024-10-14 07:54:50,13,46
2024-10-14 07:54:51,49,47
2024-10-14 07:54:52,57,38
2024-10-14 07:54:53,8,16
2024-10-14 07:54:54,25,18
2024-10-14 07:54:55,52,60
2024-10-14 07:54:56,1,50
2024-10-14 07:54:57,19,48
2024-10-14 07:54:58,27,5
2024-10-14 07:54:59,46,28
2024-10-14 07:55:00,59,10
2024-10-14 07:55:01,6,15
2024-10-14 07:55:02,43,29
2024-10-14 07:55:03,60,24
2024-10-14 07:55:04,7,39
2024-10-14 07:55:05,46,10
2024-10-14 07:55:06,34,6
2024-10-14 07:55:07,13,25
2024-10-14 07:55:08,16,55
2024-10-14 07:55:09,35,21
2024-10-14 07:55:10,49,24
2024-10-14 07:55:11,39,18
2024-10-14 07:55:12,3,30
2024-10-14 07:55:13,1,25
2024-10-14 07:55:14,5,41
2024-10-14 07:55:15,53,40
2024-10-14 07:55:16,41,35
2024-10-14 07:55:17,3,22
2024-10-14 07:55:18,53,46
2024-10-14 07:55:19,28,12
2024-10-14 07:55:20,17,24
2024-10-14 07:55:21,25,1
2024-10-14 07:55:22,43,1
2024-10-14 07:55:23,33,15
2024-10-14 07:55:24,9,8
2024-10-14 07:55:25,35,27
2024-10-14 07:55:26,13,12
2024-10-14 07:55:27,30,34
2024-10-14 07:55:28,47,40
2024-10-14 07:55:29,14,12
2024-10-14 07:55:30,7,30
2024-10-14 07:55:31,13,20
2024-10-14 07:55:32,22,31
2024-10-14 07:55:33,59,53
2024-10-14 07:55:34,56,33
2024-10-14 07:55:35,39,7
2024-10-14 07:55:36,20,58
2024-10-14 07:55:37,15,40
2024-10-14 07:55:38,44,47
2024-10-14 07:55:39,17,1
2024-10-14 07:55:40,46,37
2024-10-14 07:55:41,52,31
2024-10-14 07:55:42,23,53
2024-10-14 07:55:43,25,39
2024-10-14 07:55:44,24,57
2024-10-14 07:55:45,59,27
2024-10-14 07:55:46,59,36
2024-10-14 07:55:47,59,40
2024-10-14 07:55:48,44,0
2024-10-14 07:55:49,40,40
2024-10-14 07:55:50,28,9
2024-10-14 07:55:51,14,54
2024-10-14 07:55:52,44,3
2024-10-14 07:55:53,0,34
2024-10-14 07:55:54,24,9
2024-10-14 07:55:55,6,46
2024-10-14 07:55:56,8,10
2024-10-14 07:55:57,23,13
2024-10-14 07:55:58,0,37
2024-10-14 07:55:59,43,11
2024-10-14 07:56:00,7,44
2024-10-14 07:56:01,23,16
2024-10-14 07:56:02,10,15
2024-10-14 07:56:03,50,34
2024-10-14 07:56:04,16,1
2024-10-14 07:56:05,7,10
2024-10-14 07:56:06,34,60
2024-10-14 07:56:07,34,40
2024-10-14 07:56:08,32,2
2024-10-14 07:56:09,58,28
2024-10-14 07:56:10,4,17
2024-10-14 07:56:11,41,19
2024-10-14 07:56:12,38,46
2024-10-14 07:56:13,57,13
2024-10-14 07:56:14,40,33
2024-10-14 07:56:15,27,48
2024-10-14 07:56:16,6,53
2024-10-14 07:56:17,8,30
2024-10-14 07:56:18,7,57
2024-10-14 07:56:19,11,39
2024-10-14 07:56:20,33,41
2024-10-14 07:56:21,32,57
2024-10-14 07:56:22,47,17
2024-10-14 07:56:23,54,29
2024-10-14 07:56:24,22,24
2024-10-14 07:56:25,23,60
2024-10-14 07:56:26,36,18
2024-10-14 07:56:27,34,7
2024-10-14 07:56:28,43,27
2024-10-14 07:56:29,39,7
2024-10-14 07:56:30,21,30
2024-10-14 07:56:31,26,2
2024-10-14 07:56:32,34,2
2024-10-14 07:56:33,0,43
2024-10-14 07:56:34,34,21
2024-10-14 07:56:35,36,16
2024-10-14 07:56:36,46,35
2024-10-14 07:56:37,13,16
2024-10-14 07:56:38,2,13
2024-10-14 07:56:39,0,50
2024-10-14 07:56:40,4,8
2024-10-14 07:56:41,25,29
2024-10-14 07:56:42,54,20
2024-10-14 07:56:43,13,11
2024-10-14 07:56:44,38,36
2024-10-14 07:56:45,26,31
2024-10-14 07:56:46,8,10
2024-10-14 07:56:47,14,19
2024-10-14 07:56:48,14,34
2024-10-14 07:56:49,25,52
2024-10-14 07:56:50,41,46
2024-10-14 07:56:51,59,45
2024-10-14 07:56:52,12,10
2024-10-14 07:56:53,50,51
2024-10-14 07:56:54,31,7
2024-10-14 07:56:55,38,3
2024-10-14 07:56:56,48,26
2024-10-14 07:56:57,51,43
2024-10-14 07:56:58,60,39
2024-10-14 07:56:59,31,37
2024-10-14 07:57:00,3,46
2024-10-14 07:57:01,29,29
2024-10-14 07:57:02,36,43
2024-10-14 07:57:03,22,47
2024-10-14 07:57:04,38,47
2024-10-14 07:57:05,44,26
2024-10-14 07:57:06,14,20
2024-10-14 07:57:07,42,51
2024-10-14 07:57:08,28,19
2024-10-14 07:57:09,35,59
2024-10-14 07:57:10,12,3
2024-10-14 07:57:11,31,10
2024-10-14 07:57:12,6,12
2024-10-14 07:57:13,58,60
2024-10-14 07:57:14,50,8
2024-10-14 07:57:15,21,3
2024-10-14 07:57:16,27,11
2024-10-14 07:57:17,1,8
2024-10-14 07:57:18,41,12
2024-10-14 07:57:19,44,47
2024-10-14 07:57:20,56,25
2024-10-14 07:57:21,52,37
2024-10-14 07:57:22,5,41
2024-10-14 07:57:23,27,12
2024-10-14 07:57:24,27,38
2024-10-14 07:57:25,43,27
2024-10-14 07:57:26,43,57
2024-10-14 07:57:27,19,18
2024-10-14 07:57:28,29,23
2024-10-14 07:57:29,10,18
2024-10-14 07:57:30,57,48
2024-10-14 07:57:31,54,12
2024-10-14 07:57:32,27,12
2024-10-14 07:57:33,24,57
2024-10-14 07:57:34,38,27
2024-10-14 07:57:35,32,52
2024-10-14 07:57:36,0,1
2024-10-14 07:57:37,56,9
2024-10-14 07:57:38,26,21
2024-10-14 07:57:39,56,12
2024-10-14 07:57:40,51,57
2024-10-14 07:57:41,12,8
2024-10-14 07:57:42,40,32
2024-10-14 07:57:43,2,13
2024-10-14 07:57:44,38,60
2024-10-14 07:57:45,5,47
2024-10-14 07:57:46,7,19
2024-10-14 07:57:47,26,14
2024-10-14 07:57:48,8,31
2024-10-14 07:57:49,36,32
2024-10-14 07:57:50,32,16
2024-10-14 07:57:51,50,23
2024-10-14 07:57:52,41,29
2024-10-14 07:57:53,43,12
2024-10-14 07:57:54,23,58
2024-10-14 07:57:55,14,46
2024-10-14 07:57:56,58,47
2024-10-14 07:57:57,53,15
2024-10-14 07:57:58,31,1
2024-10-14 07:57:59,31,16
2024-10-14 07:58:00,23,31
2024-10-14 07:58:01,40,42
2024-10-14 07:58:02,51,7
2024-10-14 07:58:03,48,51
2024-10-14 07:58:04,48,2
2024-10-14 07:58:05,57,60
2024-10-14 07:58:06,51,11
2024-10-14 07:58:07,11,19
2024-10-14 07:58:08,38,15
2024-10-14 07:58:09,1,13
2024-10-14 07:58:10,2,15
2024-10-14 07:58:11,48,58
2024-10-14 07:58:12,36,52
2024-10-14 07:58:13,48,48
2024-10-14 07:58:14,55,42
2024-10-14 07:58:15,16,48
2024-10-14 07:58:16,58,50
2024-10-14 07:58:17,48,53
2024-10-14 07:58:18,1,32
2024-10-14 07:58:19,1,29
2024-10-14 07:58:20,27,58
2024-10-14 07:58:21,53,11
2024-10-14 07:58:22,22,14
2024-10-14 07:58:23,36,17
2024-10-14 07:58:24,31,27
2024-10-14 07:58:25,32,22
2024-10-14 07:58:26,0,13
2024-10-14 07:58:27,18,29
2024-10-14 07:58:28,1,32
2024-10-14 07:58:29,52,44
2024-10-14 07:58:30,43,14
2024-10-14 07:58:31,25,6
2024-10-14 07:58:32,31,14
2024-10-14 07:58:33,5,51
2024-10-14 07:58:34,31,41
2024-10-14 07:58:35,54,45
2024-10-14 07:58:36,3,37
2024-10-14 07:58:37,54,45
2024-10-14 07:58:38,10,55
2024-10-14 07:58:39,55,56
2024-10-14 07:58:40,58,53
2024-10-14 07:58:41,16,43
2024-10-14 07:58:42,37,10
2024-10-14 07:58:43,23,28
2024-10-14 07:58:44,4,30
2024-10-14 07:58:45,51,24
2024-10-14 07:58:46,33,51
2024-10-14 07:58:47,5,53
2024-10-14 07:58:48,21,23
2024-10-14 07:58:49,10,56
2024-10-14 07:58:50,47,18
2024-10-14 07:58:51,15,1
2024-10-14 07:58:52,32,21
2024-10-14 07:58:53,8,19
2024-10-14 07:58:54,59,32
2024-10-14 07:58:55,58,7
2024-10-14 07:58:56,5,24
2024-10-14 07:58:57,15,45
2024-10-14 07:58:58,28,8
2024-10-14 07:58:59,2,33
2024-10-14 07:59:00,19,56
2024-10-14 07:59:01,59,22
2024-10-14 07:59:02,58,4
2024-10-14 07:59:03,35,54
2024-10-14 07:59:04,18,60
2024-10-14 07:59:05,25,24
2024-10-14 07:59:06,2,7
2024-10-14 07:59:07,18,15
2024-10-14 07:59:08,19,53
2024-10-14 07:59:09,31,47
2024-10-14 07:59:10,6,44
2024-10-14 07:59:11,51,51
2024-10-14 07:59:12,40,60
2024-10-14 07:59:13,32,14
2024-10-14 07:59:14,39,0
2024-10-14 07:59:15,38,21
2024-10-14 07:59:16,17,2
2024-10-14 07:59:17,39,37
2024-10-14 07:59:18,0,53
2024-10-14 07:59:19,10,13
2024-10-14 07:59:20,27,35
2024-10-14 07:59:21,56,17
2024-10-14 07:59:22,24,46
2024-10-14 07:59:23,49,40
2024-10-14 07:59:24,22,17
2024-10-14 07:59:25,30,2
2024-10-14 07:59:26,29,9
2024-10-14 07:59:27,41,48
2024-10-14 07:59:28,34,38
2024-10-14 07:59:29,6,46
2024-10-14 07:59:30,59,0
2024-10-14 07:59:31,15,26
2024-10-14 07:59:32,25,56
2024-10-14 07:59:33,47,26
2024-10-14 07:59:34,56,10
2024-10-14 07:59:35,51,48
2024-10-14 07:59:36,59,4
2024-10-14 07:59:37,48,6
2024-10-14 07:59:38,1,18
2024-10-14 07:59:39,0,56
2024-10-14 07:59:40,47,55
