,Actual_OFI,FNN_Model_OFI,actual_signal,FNN_signal
0,1.0,0.9,BUY,BUY
1,-1.0,-0.9715801,SELL,SELL
2,1.0,0.9729459,BUY,BUY
3,0.0,-0.021445274,HOLD,SELL
4,-1.0,-0.9735047,SELL,SELL
5,-1.0,-0.9735047,SELL,SELL
6,1.0,0.9756854,BUY,BUY
7,0.5,0.53269684,BUY,BUY
8,-0.3333333333333333,-0.43547112,SELL,SELL
9,-0.3333333333333333,-0.43547112,SELL,SELL
10,-0.3333333333333333,-0.43547112,SELL,SELL
11,0.6666666666666666,0.65996605,BUY,BUY
12,1.0,0.9729459,BUY,BUY
13,0.2,0.16620575,BUY,BUY
14,0.0,-0.06621839,HOLD,SELL
15,1.0,0.91821027,BUY,BUY
16,0.0,-0.06621839,HOLD,SELL
17,0.0,-0.06621839,HOLD,SELL
18,1.0,0.9770193,BUY,BUY
19,-0.9910979228486647,-0.9,SELL,SELL
20,-1.0,-0.9,SELL,SELL
21,0.0,-0.01835157,HOLD,SELL
22,-1.0,-0.9,SELL,SELL
23,0.0,-0.010963455,HOLD,SELL
24,1.0,0.97375286,BUY,BUY
25,-1.0,-0.9696114,SELL,SELL
26,-1.0,-0.9696114,SELL,SELL
27,-0.9903381642512077,-0.9,SELL,SELL
28,-0.8,-0.82134676,SELL,SELL
29,-0.6,-0.72904253,SELL,SELL
30,1.0,0.9,BUY,BUY
31,-0.5,-0.65814066,SELL,SELL
32,-1.0,-0.9696114,SELL,SELL
33,-0.9926739926739927,-0.9,SELL,SELL
34,-0.7142857142857143,-0.20848133,SELL,SELL
35,0.7142857142857143,0.7361991,BUY,BUY
36,0.0,-0.010963455,HOLD,SELL
37,0.3333333333333333,0.32707536,BUY,BUY
38,-0.7142857142857143,-0.45056772,SELL,SELL
39,-1.0,-0.9696114,SELL,SELL
40,1.0,0.9,BUY,BUY
41,-0.3333333333333333,-0.33653212,SELL,SELL
42,1.0,0.9,BUY,BUY
43,1.0,0.97375286,BUY,BUY
44,0.6666666666666666,0.68949217,BUY,BUY
45,-0.6666666666666666,-0.5675893,SELL,SELL
46,0.3333333333333333,0.32707536,BUY,BUY
47,-1.0,-0.9,SELL,SELL
48,-0.6049382716049383,-0.7068057,SELL,SELL
49,-0.7490196078431373,-0.57967615,SELL,SELL
