Time,buy_orders,sell_orders
2024-10-14 07:53:48,102,148
2024-10-14 07:53:49,435,87
2024-10-14 07:53:50,348,323
2024-10-14 07:53:51,270,382
2024-10-14 07:53:52,106,395
2024-10-14 07:53:53,71,277
2024-10-14 07:53:54,188,403
2024-10-14 07:53:55,20,81
2024-10-14 07:53:56,102,128
2024-10-14 07:53:57,121,285
2024-10-14 07:53:58,466,381
2024-10-14 07:53:59,214,352
2024-10-14 07:54:00,330,279
2024-10-14 07:54:01,458,269
2024-10-14 07:54:02,87,291
2024-10-14 07:54:03,372,452
2024-10-14 07:54:04,99,202
2024-10-14 07:54:05,359,23
2024-10-14 07:54:06,151,443
2024-10-14 07:54:07,130,350
2024-10-14 07:54:08,149,310
2024-10-14 07:54:09,308,460
2024-10-14 07:54:10,257,207
2024-10-14 07:54:11,343,279
2024-10-14 07:54:12,491,204
2024-10-14 07:54:13,413,151
2024-10-14 07:54:14,293,437
2024-10-14 07:54:15,385,25
2024-10-14 07:54:16,191,193
2024-10-14 07:54:17,443,335
2024-10-14 07:54:18,276,421
2024-10-14 07:54:19,160,237
2024-10-14 07:54:20,459,320
2024-10-14 07:54:21,313,496
2024-10-14 07:54:22,21,74
2024-10-14 07:54:23,252,434
2024-10-14 07:54:24,235,162
2024-10-14 07:54:25,344,298
2024-10-14 07:54:26,48,28
2024-10-14 07:54:27,474,164
2024-10-14 07:54:28,58,336
2024-10-14 07:54:29,169,185
2024-10-14 07:54:30,475,53
2024-10-14 07:54:31,187,294
2024-10-14 07:54:32,463,41
2024-10-14 07:54:33,270,411
2024-10-14 07:54:34,189,284
2024-10-14 07:54:35,445,426
2024-10-14 07:54:36,174,386
2024-10-14 07:54:37,445,499
2024-10-14 07:54:38,50,137
2024-10-14 07:54:39,363,186
2024-10-14 07:54:40,54,489
2024-10-14 07:54:41,243,397
2024-10-14 07:54:42,319,203
2024-10-14 07:54:43,130,430
2024-10-14 07:54:44,484,41
2024-10-14 07:54:45,306,349
2024-10-14 07:54:46,134,415
2024-10-14 07:54:47,20,287
2024-10-14 07:54:48,328,425
2024-10-14 07:54:49,166,415
2024-10-14 07:54:50,273,25
2024-10-14 07:54:51,387,370
2024-10-14 07:54:52,88,384
2024-10-14 07:54:53,315,55
2024-10-14 07:54:54,13,252
2024-10-14 07:54:55,241,121
2024-10-14 07:54:56,264,105
2024-10-14 07:54:57,345,129
2024-10-14 07:54:58,52,336
2024-10-14 07:54:59,385,157
2024-10-14 07:55:00,339,375
2024-10-14 07:55:01,91,230
2024-10-14 07:55:02,366,454
2024-10-14 07:55:03,443,307
2024-10-14 07:55:04,454,90
2024-10-14 07:55:05,427,392
2024-10-14 07:55:06,263,21
2024-10-14 07:55:07,430,289
2024-10-14 07:55:08,34,109
2024-10-14 07:55:09,205,48
2024-10-14 07:55:10,80,128
2024-10-14 07:55:11,419,72
2024-10-14 07:55:12,49,339
2024-10-14 07:55:13,359,52
2024-10-14 07:55:14,387,466
2024-10-14 07:55:15,1,355
2024-10-14 07:55:16,389,379
2024-10-14 07:55:17,53,167
2024-10-14 07:55:18,105,44
2024-10-14 07:55:19,259,451
2024-10-14 07:55:20,309,392
2024-10-14 07:55:21,476,104
2024-10-14 07:55:22,190,149
2024-10-14 07:55:23,401,145
2024-10-14 07:55:24,217,203
2024-10-14 07:55:25,43,361
2024-10-14 07:55:26,161,298
2024-10-14 07:55:27,201,166
2024-10-14 07:55:28,445,200
2024-10-14 07:55:29,483,133
2024-10-14 07:55:30,269,210
2024-10-14 07:55:31,350,47
2024-10-14 07:55:32,303,125
2024-10-14 07:55:33,270,238
2024-10-14 07:55:34,455,6
2024-10-14 07:55:35,461,463
2024-10-14 07:55:36,214,452
2024-10-14 07:55:37,251,271
2024-10-14 07:55:38,189,384
2024-10-14 07:55:39,295,370
2024-10-14 07:55:40,212,36
2024-10-14 07:55:41,207,486
2024-10-14 07:55:42,236,210
2024-10-14 07:55:43,337,164
2024-10-14 07:55:44,366,124
2024-10-14 07:55:45,52,336
2024-10-14 07:55:46,279,191
2024-10-14 07:55:47,409,217
2024-10-14 07:55:48,216,213
2024-10-14 07:55:49,251,61
2024-10-14 07:55:50,187,327
2024-10-14 07:55:51,379,444
2024-10-14 07:55:52,492,380
2024-10-14 07:55:53,40,160
2024-10-14 07:55:54,156,65
2024-10-14 07:55:55,14,285
2024-10-14 07:55:56,300,238
2024-10-14 07:55:57,64,19
2024-10-14 07:55:58,344,187
2024-10-14 07:55:59,326,81
2024-10-14 07:56:00,8,362
2024-10-14 07:56:01,343,201
2024-10-14 07:56:02,128,407
2024-10-14 07:56:03,491,131
2024-10-14 07:56:04,135,36
2024-10-14 07:56:05,471,131
2024-10-14 07:56:06,62,76
2024-10-14 07:56:07,138,88
2024-10-14 07:56:08,498,460
2024-10-14 07:56:09,80,401
2024-10-14 07:56:10,391,252
2024-10-14 07:56:11,162,343
2024-10-14 07:56:12,418,193
2024-10-14 07:56:13,288,175
2024-10-14 07:56:14,378,32
2024-10-14 07:56:15,260,57
2024-10-14 07:56:16,489,466
2024-10-14 07:56:17,230,200
2024-10-14 07:56:18,40,27
2024-10-14 07:56:19,27,34
2024-10-14 07:56:20,134,486
2024-10-14 07:56:21,200,124
2024-10-14 07:56:22,327,393
2024-10-14 07:56:23,267,320
2024-10-14 07:56:24,417,41
2024-10-14 07:56:25,32,84
2024-10-14 07:56:26,47,392
2024-10-14 07:56:27,406,187
2024-10-14 07:56:28,61,110
2024-10-14 07:56:29,215,270
2024-10-14 07:56:30,292,482
2024-10-14 07:56:31,98,440
2024-10-14 07:56:32,171,324
2024-10-14 07:56:33,359,104
2024-10-14 07:56:34,213,405
2024-10-14 07:56:35,474,319
2024-10-14 07:56:36,34,40
2024-10-14 07:56:37,448,214
2024-10-14 07:56:38,226,70
2024-10-14 07:56:39,100,55
2024-10-14 07:56:40,430,406
2024-10-14 07:56:41,461,235
2024-10-14 07:56:42,130,280
2024-10-14 07:56:43,256,474
2024-10-14 07:56:44,4,104
2024-10-14 07:56:45,217,389
2024-10-14 07:56:46,254,374
2024-10-14 07:56:47,397,161
2024-10-14 07:56:48,358,190
2024-10-14 07:56:49,282,8
2024-10-14 07:56:50,392,59
2024-10-14 07:56:51,206,380
2024-10-14 07:56:52,14,304
2024-10-14 07:56:53,345,224
2024-10-14 07:56:54,41,306
2024-10-14 07:56:55,379,187
2024-10-14 07:56:56,460,69
2024-10-14 07:56:57,178,292
2024-10-14 07:56:58,62,286
2024-10-14 07:56:59,351,481
2024-10-14 07:57:00,230,168
2024-10-14 07:57:01,240,61
2024-10-14 07:57:02,51,348
2024-10-14 07:57:03,95,441
2024-10-14 07:57:04,387,13
2024-10-14 07:57:05,221,163
2024-10-14 07:57:06,484,419
2024-10-14 07:57:07,406,244
2024-10-14 07:57:08,230,334
2024-10-14 07:57:09,236,7
2024-10-14 07:57:10,142,153
2024-10-14 07:57:11,170,35
2024-10-14 07:57:12,28,47
2024-10-14 07:57:13,35,84
2024-10-14 07:57:14,12,27
2024-10-14 07:57:15,159,195
2024-10-14 07:57:16,326,445
2024-10-14 07:57:17,186,207
2024-10-14 07:57:18,242,469
2024-10-14 07:57:19,85,203
2024-10-14 07:57:20,283,463
2024-10-14 07:57:21,65,306
2024-10-14 07:57:22,169,103
2024-10-14 07:57:23,44,229
2024-10-14 07:57:24,61,425
2024-10-14 07:57:25,440,100
2024-10-14 07:57:26,133,28
2024-10-14 07:57:27,283,126
2024-10-14 07:57:28,27,337
2024-10-14 07:57:29,107,9
2024-10-14 07:57:30,43,105
2024-10-14 07:57:31,339,166
2024-10-14 07:57:32,285,465
2024-10-14 07:57:33,445,256
2024-10-14 07:57:34,330,294
2024-10-14 07:57:35,127,276
2024-10-14 07:57:36,347,64
2024-10-14 07:57:37,472,270
2024-10-14 07:57:38,230,387
2024-10-14 07:57:39,189,187
2024-10-14 07:57:40,224,316
2024-10-14 07:57:41,384,403
2024-10-14 07:57:42,376,137
2024-10-14 07:57:43,282,342
2024-10-14 07:57:44,445,104
2024-10-14 07:57:45,120,33
2024-10-14 07:57:46,115,379
2024-10-14 07:57:47,460,109
2024-10-14 07:57:48,232,431
2024-10-14 07:57:49,258,32
2024-10-14 07:57:50,358,353
2024-10-14 07:57:51,197,230
2024-10-14 07:57:52,455,316
2024-10-14 07:57:53,410,265
2024-10-14 07:57:54,136,181
2024-10-14 07:57:55,317,339
2024-10-14 07:57:56,164,64
2024-10-14 07:57:57,224,332
2024-10-14 07:57:58,306,0
2024-10-14 07:57:59,233,132
2024-10-14 07:58:00,171,79
2024-10-14 07:58:01,151,270
2024-10-14 07:58:02,462,240
2024-10-14 07:58:03,314,27
2024-10-14 07:58:04,373,222
2024-10-14 07:58:05,159,22
2024-10-14 07:58:06,95,495
2024-10-14 07:58:07,471,108
2024-10-14 07:58:08,232,106
2024-10-14 07:58:09,179,144
2024-10-14 07:58:10,112,368
2024-10-14 07:58:11,317,353
2024-10-14 07:58:12,496,396
2024-10-14 07:58:13,441,397
2024-10-14 07:58:14,51,138
2024-10-14 07:58:15,267,283
2024-10-14 07:58:16,294,297
2024-10-14 07:58:17,385,479
2024-10-14 07:58:18,386,98
2024-10-14 07:58:19,112,316
2024-10-14 07:58:20,100,122
2024-10-14 07:58:21,112,319
2024-10-14 07:58:22,439,286
2024-10-14 07:58:23,80,80
2024-10-14 07:58:24,186,494
2024-10-14 07:58:25,112,456
2024-10-14 07:58:26,1,9
2024-10-14 07:58:27,129,7
2024-10-14 07:58:28,219,404
2024-10-14 07:58:29,53,204
2024-10-14 07:58:30,342,314
2024-10-14 07:58:31,484,433
2024-10-14 07:58:32,223,196
2024-10-14 07:58:33,224,197
2024-10-14 07:58:34,384,29
2024-10-14 07:58:35,402,478
2024-10-14 07:58:36,125,400
2024-10-14 07:58:37,129,458
2024-10-14 07:58:38,52,19
2024-10-14 07:58:39,171,47
2024-10-14 07:58:40,217,456
2024-10-14 07:58:41,159,129
2024-10-14 07:58:42,197,292
2024-10-14 07:58:43,415,384
2024-10-14 07:58:44,246,131
2024-10-14 07:58:45,323,355
2024-10-14 07:58:46,438,53
2024-10-14 07:58:47,202,377
2024-10-14 07:58:48,183,280
2024-10-14 07:58:49,122,386
2024-10-14 07:58:50,400,264
2024-10-14 07:58:51,254,469
2024-10-14 07:58:52,293,214
2024-10-14 07:58:53,279,459
2024-10-14 07:58:54,324,457
2024-10-14 07:58:55,371,289
2024-10-14 07:58:56,97,42
2024-10-14 07:58:57,197,73
2024-10-14 07:58:58,469,349
2024-10-14 07:58:59,394,277
2024-10-14 07:59:00,239,325
2024-10-14 07:59:01,143,241
2024-10-14 07:59:02,96,129
2024-10-14 07:59:03,200,349
2024-10-14 07:59:04,123,193
2024-10-14 07:59:05,186,31
2024-10-14 07:59:06,325,105
2024-10-14 07:59:07,463,399
2024-10-14 07:59:08,348,203
2024-10-14 07:59:09,258,0
2024-10-14 07:59:10,147,244
2024-10-14 07:59:11,251,71
2024-10-14 07:59:12,442,431
2024-10-14 07:59:13,419,305
2024-10-14 07:59:14,402,396
2024-10-14 07:59:15,345,14
2024-10-14 07:59:16,450,52
2024-10-14 07:59:17,146,427
2024-10-14 07:59:18,147,7
2024-10-14 07:59:19,351,329
2024-10-14 07:59:20,198,45
2024-10-14 07:59:21,307,324
2024-10-14 07:59:22,488,113
2024-10-14 07:59:23,416,146
2024-10-14 07:59:24,423,494
2024-10-14 07:59:25,127,165
2024-10-14 07:59:26,38,378
2024-10-14 07:59:27,337,138
2024-10-14 07:59:28,359,116
2024-10-14 07:59:29,128,298
2024-10-14 07:59:30,266,275
2024-10-14 07:59:31,475,403
2024-10-14 07:59:32,440,276
2024-10-14 07:59:33,472,337
2024-10-14 07:59:34,433,312
2024-10-14 07:59:35,150,177
2024-10-14 07:59:36,414,329
2024-10-14 07:59:37,477,353
2024-10-14 07:59:38,297,153
2024-10-14 07:59:39,98,413
2024-10-14 07:59:40,262,200
2024-10-14 07:59:41,251,365
2024-10-14 07:59:42,143,114
2024-10-14 07:59:43,345,158
2024-10-14 07:59:44,111,41
2024-10-14 07:59:45,499,246
2024-10-14 07:59:46,59,67
2024-10-14 07:59:47,368,444
2024-10-14 07:59:48,1,444
2024-10-14 07:59:49,384,325
2024-10-14 07:59:50,303,333
2024-10-14 07:59:51,253,195
2024-10-14 07:59:52,139,89
2024-10-14 07:59:53,452,110
2024-10-14 07:59:54,36,367
2024-10-14 07:59:55,159,358
2024-10-14 07:59:56,8,144
2024-10-14 07:59:57,232,274
2024-10-14 07:59:58,98,178
2024-10-14 07:59:59,146,240
2024-10-14 08:00:00,303,325
2024-10-14 08:00:01,207,318
2024-10-14 08:00:02,130,476
2024-10-14 08:00:03,403,330
2024-10-14 08:00:04,151,463
2024-10-14 08:00:05,53,413
2024-10-14 08:00:06,119,152
2024-10-14 08:00:07,160,103
2024-10-14 08:00:08,407,74
2024-10-14 08:00:09,115,127
2024-10-14 08:00:10,74,198
2024-10-14 08:00:11,112,153
2024-10-14 08:00:12,455,55
2024-10-14 08:00:13,419,277
2024-10-14 08:00:14,421,344
2024-10-14 08:00:15,103,18
2024-10-14 08:00:16,339,158
2024-10-14 08:00:17,253,25
2024-10-14 08:00:18,226,425
2024-10-14 08:00:19,111,168
2024-10-14 08:00:20,472,483
2024-10-14 08:00:21,98,22
2024-10-14 08:00:22,152,46
2024-10-14 08:00:23,348,12
2024-10-14 08:00:24,401,216
2024-10-14 08:00:25,383,321
2024-10-14 08:00:26,365,193
2024-10-14 08:00:27,337,143
2024-10-14 08:00:28,193,72
2024-10-14 08:00:29,309,155
2024-10-14 08:00:30,162,76
2024-10-14 08:00:31,207,418
2024-10-14 08:00:32,444,168
2024-10-14 08:00:33,168,460
2024-10-14 08:00:34,483,286
2024-10-14 08:00:35,160,84
2024-10-14 08:00:36,67,415
2024-10-14 08:00:37,288,181
2024-10-14 08:00:38,397,481
2024-10-14 08:00:39,276,455
2024-10-14 08:00:40,303,314
2024-10-14 08:00:41,403,296
2024-10-14 08:00:42,383,111
2024-10-14 08:00:43,391,449
2024-10-14 08:00:44,134,229
2024-10-14 08:00:45,194,95
2024-10-14 08:00:46,400,437
2024-10-14 08:00:47,127,167
2024-10-14 08:00:48,32,377
2024-10-14 08:00:49,175,155
2024-10-14 08:00:50,459,420
2024-10-14 08:00:51,442,104
2024-10-14 08:00:52,370,192
2024-10-14 08:00:53,469,488
2024-10-14 08:00:54,374,329
2024-10-14 08:00:55,21,438
2024-10-14 08:00:56,237,131
2024-10-14 08:00:57,157,354
2024-10-14 08:00:58,37,381
2024-10-14 08:00:59,229,137
2024-10-14 08:01:00,364,430
2024-10-14 08:01:01,50,330
2024-10-14 08:01:02,437,269
2024-10-14 08:01:03,263,37
2024-10-14 08:01:04,282,395
2024-10-14 08:01:05,26,44
2024-10-14 08:01:06,225,400
2024-10-14 08:01:07,276,463
2024-10-14 08:01:08,285,162
2024-10-14 08:01:09,96,449
2024-10-14 08:01:10,283,330
2024-10-14 08:01:11,366,252
2024-10-14 08:01:12,447,168
2024-10-14 08:01:13,480,450
2024-10-14 08:01:14,452,284
2024-10-14 08:01:15,316,273
2024-10-14 08:01:16,303,19
2024-10-14 08:01:17,146,238
2024-10-14 08:01:18,3,269
2024-10-14 08:01:19,34,417
2024-10-14 08:01:20,191,432
2024-10-14 08:01:21,48,309
2024-10-14 08:01:22,16,30
2024-10-14 08:01:23,171,313
2024-10-14 08:01:24,219,103
2024-10-14 08:01:25,157,169
2024-10-14 08:01:26,476,185
2024-10-14 08:01:27,45,127
2024-10-14 08:01:28,372,209
2024-10-14 08:01:29,5,413
2024-10-14 08:01:30,98,280
2024-10-14 08:01:31,379,446
2024-10-14 08:01:32,232,252
2024-10-14 08:01:33,36,18
2024-10-14 08:01:34,279,199
2024-10-14 08:01:35,348,219
2024-10-14 08:01:36,496,135
2024-10-14 08:01:37,301,222
2024-10-14 08:01:38,180,2
2024-10-14 08:01:39,94,450
2024-10-14 08:01:40,98,235
2024-10-14 08:01:41,187,341
2024-10-14 08:01:42,480,464
2024-10-14 08:01:43,115,227
2024-10-14 08:01:44,190,400
2024-10-14 08:01:45,252,141
2024-10-14 08:01:46,468,498
2024-10-14 08:01:47,415,8
2024-10-14 08:01:48,470,189
2024-10-14 08:01:49,160,349
2024-10-14 08:01:50,255,404
2024-10-14 08:01:51,322,459
2024-10-14 08:01:52,127,164
2024-10-14 08:01:53,17,479
2024-10-14 08:01:54,280,138
2024-10-14 08:01:55,489,275
2024-10-14 08:01:56,222,290
2024-10-14 08:01:57,53,52
2024-10-14 08:01:58,57,174
2024-10-14 08:01:59,322,109
2024-10-14 08:02:00,359,202
2024-10-14 08:02:01,173,435
2024-10-14 08:02:02,279,135
2024-10-14 08:02:03,113,3
2024-10-14 08:02:04,287,154
2024-10-14 08:02:05,430,171
2024-10-14 08:02:06,341,423
2024-10-14 08:02:07,150,357
2024-10-14 08:02:08,449,46
2024-10-14 08:02:09,126,93
2024-10-14 08:02:10,154,427
2024-10-14 08:02:11,489,47
2024-10-14 08:02:12,385,239
2024-10-14 08:02:13,473,346
2024-10-14 08:02:14,272,212
2024-10-14 08:02:15,103,435
2024-10-14 08:02:16,416,339
2024-10-14 08:02:17,392,323
2024-10-14 08:02:18,298,138
2024-10-14 08:02:19,245,204
2024-10-14 08:02:20,175,380
2024-10-14 08:02:21,38,72
2024-10-14 08:02:22,476,3
2024-10-14 08:02:23,169,75
2024-10-14 08:02:24,246,328
2024-10-14 08:02:25,25,76
2024-10-14 08:02:26,354,303
2024-10-14 08:02:27,305,255
2024-10-14 08:02:28,408,409
2024-10-14 08:02:29,407,101
2024-10-14 08:02:30,12,105
2024-10-14 08:02:31,315,332
2024-10-14 08:02:32,390,38
2024-10-14 08:02:33,312,475
2024-10-14 08:02:34,35,313
2024-10-14 08:02:35,172,274
2024-10-14 08:02:36,19,87
2024-10-14 08:02:37,320,210
2024-10-14 08:02:38,263,368
2024-10-14 08:02:39,493,76
2024-10-14 08:02:40,399,76
2024-10-14 08:02:41,141,441
2024-10-14 08:02:42,459,27
2024-10-14 08:02:43,370,244
2024-10-14 08:02:44,470,65
2024-10-14 08:02:45,142,265
2024-10-14 08:02:46,91,381
2024-10-14 08:02:47,353,469
2024-10-14 08:02:48,321,204
2024-10-14 08:02:49,287,57
2024-10-14 08:02:50,214,200
2024-10-14 08:02:51,446,224
2024-10-14 08:02:52,341,141
2024-10-14 08:02:53,50,380
2024-10-14 08:02:54,152,367
2024-10-14 08:02:55,185,83
2024-10-14 08:02:56,62,142
2024-10-14 08:02:57,189,351
2024-10-14 08:02:58,124,32
2024-10-14 08:02:59,149,400
2024-10-14 08:03:00,313,151
2024-10-14 08:03:01,57,157
2024-10-14 08:03:02,341,445
2024-10-14 08:03:03,304,140
2024-10-14 08:03:04,179,445
2024-10-14 08:03:05,169,250
2024-10-14 08:03:06,325,302
2024-10-14 08:03:07,270,111
2024-10-14 08:03:08,53,143
2024-10-14 08:03:09,490,449
2024-10-14 08:03:10,443,208
2024-10-14 08:03:11,100,223
2024-10-14 08:03:12,480,42
2024-10-14 08:03:13,263,263
2024-10-14 08:03:14,52,243
2024-10-14 08:03:15,59,2
2024-10-14 08:03:16,491,124
2024-10-14 08:03:17,107,267
2024-10-14 08:03:18,4,83
2024-10-14 08:03:19,102,15
2024-10-14 08:03:20,195,333
2024-10-14 08:03:21,261,463
2024-10-14 08:03:22,364,58
2024-10-14 08:03:23,479,176
2024-10-14 08:03:24,371,62
2024-10-14 08:03:25,349,445
2024-10-14 08:03:26,46,490
2024-10-14 08:03:27,354,48
2024-10-14 08:03:28,310,306
2024-10-14 08:03:29,423,245
2024-10-14 08:03:30,307,288
2024-10-14 08:03:31,143,285
2024-10-14 08:03:32,268,442
2024-10-14 08:03:33,369,331
2024-10-14 08:03:34,123,14
2024-10-14 08:03:35,105,337
2024-10-14 08:03:36,157,254
2024-10-14 08:03:37,146,91
2024-10-14 08:03:38,144,278
2024-10-14 08:03:39,119,205
2024-10-14 08:03:40,318,93
2024-10-14 08:03:41,274,224
2024-10-14 08:03:42,91,300
2024-10-14 08:03:43,57,317
2024-10-14 08:03:44,438,462
2024-10-14 08:03:45,345,198
2024-10-14 08:03:46,228,270
2024-10-14 08:03:47,473,499
2024-10-14 08:03:48,116,233
2024-10-14 08:03:49,317,45
2024-10-14 08:03:50,278,63
2024-10-14 08:03:51,126,229
2024-10-14 08:03:52,392,429
2024-10-14 08:03:53,395,439
2024-10-14 08:03:54,128,248
2024-10-14 08:03:55,57,245
2024-10-14 08:03:56,121,427
2024-10-14 08:03:57,0,74
2024-10-14 08:03:58,238,156
2024-10-14 08:03:59,289,222
2024-10-14 08:04:00,95,189
2024-10-14 08:04:01,125,472
2024-10-14 08:04:02,117,51
2024-10-14 08:04:03,47,437
2024-10-14 08:04:04,88,87
2024-10-14 08:04:05,487,312
2024-10-14 08:04:06,236,338
2024-10-14 08:04:07,372,65
2024-10-14 08:04:08,384,149
2024-10-14 08:04:09,271,19
2024-10-14 08:04:10,188,32
2024-10-14 08:04:11,486,327
2024-10-14 08:04:12,191,280
2024-10-14 08:04:13,446,45
2024-10-14 08:04:14,68,72
2024-10-14 08:04:15,277,353
2024-10-14 08:04:16,348,312
2024-10-14 08:04:17,246,342
2024-10-14 08:04:18,450,132
2024-10-14 08:04:19,75,54
2024-10-14 08:04:20,153,60
2024-10-14 08:04:21,143,344
2024-10-14 08:04:22,434,7
2024-10-14 08:04:23,484,271
2024-10-14 08:04:24,85,245
2024-10-14 08:04:25,184,175
2024-10-14 08:04:26,284,492
2024-10-14 08:04:27,461,115
2024-10-14 08:04:28,219,316
2024-10-14 08:04:29,68,270
2024-10-14 08:04:30,46,192
2024-10-14 08:04:31,496,149
2024-10-14 08:04:32,93,130
2024-10-14 08:04:33,237,101
2024-10-14 08:04:34,445,309
2024-10-14 08:04:35,499,269
2024-10-14 08:04:36,452,291
2024-10-14 08:04:37,203,209
2024-10-14 08:04:38,399,494
2024-10-14 08:04:39,217,360
2024-10-14 08:04:40,473,337
2024-10-14 08:04:41,431,66
2024-10-14 08:04:42,340,9
2024-10-14 08:04:43,38,48
2024-10-14 08:04:44,99,486
2024-10-14 08:04:45,288,110
2024-10-14 08:04:46,253,320
2024-10-14 08:04:47,221,218
2024-10-14 08:04:48,356,56
2024-10-14 08:04:49,22,282
2024-10-14 08:04:50,249,458
2024-10-14 08:04:51,9,112
2024-10-14 08:04:52,245,132
2024-10-14 08:04:53,324,70
2024-10-14 08:04:54,99,82
2024-10-14 08:04:55,289,56
2024-10-14 08:04:56,179,375
2024-10-14 08:04:57,222,348
2024-10-14 08:04:58,393,270
2024-10-14 08:04:59,249,482
2024-10-14 08:05:00,146,110
2024-10-14 08:05:01,441,356
2024-10-14 08:05:02,95,374
2024-10-14 08:05:03,256,75
2024-10-14 08:05:04,324,157
2024-10-14 08:05:05,492,19
2024-10-14 08:05:06,3,420
2024-10-14 08:05:07,15,130
2024-10-14 08:05:08,279,328
2024-10-14 08:05:09,335,121
2024-10-14 08:05:10,246,40
2024-10-14 08:05:11,257,166
2024-10-14 08:05:12,496,409
2024-10-14 08:05:13,475,129
2024-10-14 08:05:14,383,22
2024-10-14 08:05:15,159,278
2024-10-14 08:05:16,474,250
2024-10-14 08:05:17,339,468
2024-10-14 08:05:18,151,399
2024-10-14 08:05:19,395,8
2024-10-14 08:05:20,177,12
2024-10-14 08:05:21,162,411
2024-10-14 08:05:22,379,410
2024-10-14 08:05:23,32,306
2024-10-14 08:05:24,416,319
2024-10-14 08:05:25,444,51
2024-10-14 08:05:26,178,208
2024-10-14 08:05:27,426,37
2024-10-14 08:05:28,100,99
2024-10-14 08:05:29,267,192
2024-10-14 08:05:30,322,401
2024-10-14 08:05:31,64,190
2024-10-14 08:05:32,416,50
2024-10-14 08:05:33,167,392
2024-10-14 08:05:34,329,140
2024-10-14 08:05:35,42,167
2024-10-14 08:05:36,43,310
2024-10-14 08:05:37,284,108
2024-10-14 08:05:38,396,206
2024-10-14 08:05:39,11,426
2024-10-14 08:05:40,94,299
2024-10-14 08:05:41,301,109
2024-10-14 08:05:42,385,195
2024-10-14 08:05:43,252,416
2024-10-14 08:05:44,498,151
2024-10-14 08:05:45,241,419
2024-10-14 08:05:46,34,242
2024-10-14 08:05:47,214,127
2024-10-14 08:05:48,336,104
2024-10-14 08:05:49,89,9
2024-10-14 08:05:50,263,355
2024-10-14 08:05:51,92,147
2024-10-14 08:05:52,409,488
2024-10-14 08:05:53,457,364
2024-10-14 08:05:54,89,363
2024-10-14 08:05:55,417,458
2024-10-14 08:05:56,114,139
2024-10-14 08:05:57,104,189
2024-10-14 08:05:58,390,401
2024-10-14 08:05:59,195,93
2024-10-14 08:06:00,313,491
2024-10-14 08:06:01,113,495
2024-10-14 08:06:02,492,228
2024-10-14 08:06:03,74,62
2024-10-14 08:06:04,412,339
2024-10-14 08:06:05,375,24
2024-10-14 08:06:06,419,267
2024-10-14 08:06:07,216,404
2024-10-14 08:06:08,276,280
2024-10-14 08:06:09,248,10
2024-10-14 08:06:10,163,319
2024-10-14 08:06:11,393,200
2024-10-14 08:06:12,356,125
2024-10-14 08:06:13,456,305
2024-10-14 08:06:14,407,189
2024-10-14 08:06:15,191,88
2024-10-14 08:06:16,226,354
2024-10-14 08:06:17,176,115
2024-10-14 08:06:18,98,351
2024-10-14 08:06:19,495,176
2024-10-14 08:06:20,35,13
2024-10-14 08:06:21,465,256
2024-10-14 08:06:22,496,208
2024-10-14 08:06:23,486,280
2024-10-14 08:06:24,95,442
2024-10-14 08:06:25,151,327
2024-10-14 08:06:26,150,324
2024-10-14 08:06:27,189,388
2024-10-14 08:06:28,223,104
2024-10-14 08:06:29,36,482
2024-10-14 08:06:30,267,146
2024-10-14 08:06:31,368,278
2024-10-14 08:06:32,182,8
2024-10-14 08:06:33,12,117
2024-10-14 08:06:34,278,93
2024-10-14 08:06:35,216,433
2024-10-14 08:06:36,354,143
2024-10-14 08:06:37,360,288
2024-10-14 08:06:38,285,385
2024-10-14 08:06:39,272,13
2024-10-14 08:06:40,368,493
2024-10-14 08:06:41,61,256
2024-10-14 08:06:42,83,345
2024-10-14 08:06:43,367,185
2024-10-14 08:06:44,216,344
2024-10-14 08:06:45,341,399
2024-10-14 08:06:46,396,206
2024-10-14 08:06:47,186,345
2024-10-14 08:06:48,18,430
2024-10-14 08:06:49,176,171
2024-10-14 08:06:50,99,463
2024-10-14 08:06:51,395,269
